gene_id	 SRR006295	SRR006296	SRR006297	SRR006300	SRR006301	SRR006302	SRR006303	SRR006304	SRR029309	SRR029310	
Cm_g10	0	0	0	0	0	0	0	0	0	0
Cm_g100	0	0	0	0	0	0	0	0	0	0
Cm_g1000	0	0	0	0	0	0	0	0	0	0
Cm_g10000	0	0	0	0	0	0	0	0	0	0
Cm_g10001	0	0	0	0	0	1	0	0	0	0
Cm_g10002	0	0	0	0	0	0	0	0	0	0
Cm_g10003	0	1	1	1	0	0	0	1	1	0
Cm_g10004	0	0	0	0	0	0	0	0	0	0
Cm_g10005	0	0	0	0	0	0	0	0	1	1
Cm_g10006	0	0	0	0	0	0	0	0	0	0
Cm_g10007	0	0	0	0	0	0	0	0	0	0
Cm_g10008	0	0	0	0	0	0	0	0	0	0
Cm_g10009	2	3	1	1	1	1	0	2	2	0
Cm_g1001	0	0	0	0	0	0	0	0	0	0
Cm_g10010	1	3	0	0	2	0	0	0	1	2
Cm_g10011	0	0	0	0	0	0	0	0	0	0
Cm_g10012	0	1	4	1	0	3	4	8	7	8
Cm_g10013	0	0	0	0	0	0	0	0	1	0
Cm_g10014	19	6	1	36	10	17	20	35	4	10
Cm_g10015	0	2	0	2	2	1	0	1	6	0
Cm_g10016	0	0	0	0	0	0	0	0	0	0
Cm_g10017	0	0	0	0	0	0	0	0	0	0
Cm_g10018	0	0	0	0	0	0	0	0	0	0
Cm_g10019	0	0	0	0	0	0	0	0	0	0
Cm_g1002	0	0	0	0	0	0	0	0	0	0
Cm_g10020	0	0	0	0	0	0	0	0	0	0
Cm_g10021	0	0	0	0	0	0	0	0	0	0
Cm_g10022	0	0	0	0	0	0	0	0	0	0
Cm_g10023	2	0	2	1	0	3	0	2	2	5
Cm_g10024	0	0	0	0	0	0	0	0	0	0
Cm_g10025	6	33	33	12	4	29	20	43	55	71
Cm_g10026	0	0	0	0	0	0	0	0	0	0
Cm_g10027	2	8	1	6	2	0	1	13	3	14
Cm_g10028	1	0	0	0	0	0	0	0	0	0
Cm_g10029	0	0	0	0	0	0	0	0	0	0
Cm_g1003	0	0	0	0	0	0	0	0	0	0
Cm_g10030	0	0	0	0	0	0	0	0	0	0
Cm_g10031	0	0	0	0	0	0	0	0	0	0
Cm_g10032	0	0	0	2	0	1	2	1	0	0
Cm_g10033	0	0	0	0	0	0	0	0	0	0
Cm_g10034	1	1	0	3	1	3	2	4	0	0
Cm_g10035	0	0	0	0	0	0	0	0	0	0
Cm_g10036	0	0	0	0	0	0	0	0	0	0
Cm_g10037	0	1	1	1	1	0	0	0	2	1
Cm_g10038	0	1	0	0	0	0	0	0	0	1
Cm_g10039	1	0	0	0	0	0	0	0	0	0
Cm_g1004	0	0	0	0	0	0	0	0	0	0
Cm_g10040	4	0	0	4	0	1	0	2	1	0
Cm_g10041	3	0	0	0	0	1	0	2	0	0
Cm_g10042	5	0	0	1	0	0	1	2	0	0
Cm_g10043	0	0	0	0	0	0	0	0	0	0
Cm_g10044	0	0	0	0	0	0	0	0	0	0
Cm_g10045	0	0	0	0	0	0	0	0	0	0
Cm_g10046	0	0	0	0	0	0	0	0	0	0
Cm_g10047	0	0	0	0	0	0	0	0	0	0
Cm_g10048	0	0	0	0	0	0	0	0	0	0
Cm_g10049	0	0	0	1	0	0	0	0	0	0
Cm_g10050	2	1	1	8	3	6	10	8	2	5
Cm_g10051	1	0	0	0	0	0	0	0	0	0
Cm_g1005	1	5	1	0	0	2	0	5	2	4
Cm_g10052	0	0	0	0	0	0	0	0	0	0
Cm_g10053	0	0	0	0	0	1	0	0	0	0
Cm_g10054	0	0	0	0	0	0	0	0	0	0
Cm_g10055	0	0	0	0	0	0	0	0	0	0
Cm_g10056	0	0	0	0	0	0	0	0	0	0
Cm_g10057	0	0	0	1	0	2	0	0	0	0
Cm_g10058	0	0	0	0	0	0	0	0	0	0
Cm_g10059	2	5	5	1	1	5	4	6	7	21
Cm_g10060	0	3	0	0	0	0	0	0	0	0
Cm_g10061	0	0	0	0	0	0	0	0	0	0
Cm_g1006	1	1	1	1	0	0	0	0	0	1
Cm_g10062	1	1	0	0	1	0	0	1	0	1
Cm_g10063	0	0	0	0	0	0	0	0	0	0
Cm_g10064	0	2	1	0	0	1	0	2	1	3
Cm_g10065	0	0	0	5	0	0	0	0	0	0
Cm_g10066	1	0	0	0	0	0	0	1	0	0
Cm_g10067	0	0	0	0	0	0	0	0	0	0
Cm_g10068	0	1	0	0	0	0	0	0	2	1
Cm_g10069	0	1	4	0	0	1	2	1	2	3
Cm_g1007	0	0	0	0	0	0	0	0	0	0
Cm_g10070	0	0	0	0	0	0	0	0	0	0
Cm_g10071	0	0	0	0	0	0	0	0	0	0
Cm_g10072	1	0	1	0	0	0	1	0	0	1
Cm_g10073	2	4	4	5	2	4	5	11	8	2
Cm_g10074	2	0	0	4	0	2	0	1	0	0
Cm_g10075	2	9	5	15	4	8	4	9	7	10
Cm_g10076	0	0	0	0	0	0	0	2	0	0
Cm_g10077	0	0	0	0	0	0	0	0	0	0
Cm_g10078	0	2	1	1	2	1	1	5	2	5
Cm_g10079	0	2	0	0	0	2	0	0	0	2
Cm_g1008	0	0	0	0	0	0	0	0	0	0
Cm_g10080	0	0	0	0	0	0	0	0	0	0
Cm_g10081	0	0	0	0	0	0	0	0	0	0
Cm_g10082	0	0	0	0	0	0	0	0	0	0
Cm_g10083	0	0	0	0	0	0	0	0	0	0
Cm_g10084	0	0	0	0	0	0	0	0	0	0
Cm_g10085	0	0	0	0	1	0	1	2	0	0
Cm_g10086	0	0	0	0	0	0	0	0	0	0
Cm_g10087	0	0	0	0	0	0	0	0	0	0
Cm_g10088	0	0	0	0	0	0	0	0	0	0
Cm_g10089	0	0	0	0	0	0	0	2	0	0
Cm_g1009	0	0	0	0	0	0	0	0	0	0
Cm_g10090	0	0	0	0	0	0	0	0	0	0
Cm_g10091	0	0	0	0	0	0	0	0	0	0
Cm_g10092	0	0	0	0	0	0	0	0	0	0
Cm_g10093	1	0	0	0	0	0	0	0	1	0
Cm_g10094	0	0	0	0	0	0	0	0	0	0
Cm_g10095	0	0	0	0	0	0	1	1	0	0
Cm_g10096	0	0	0	0	0	0	0	0	0	0
Cm_g10097	0	0	0	0	0	0	0	0	0	0
Cm_g10098	0	0	0	0	0	0	0	0	0	0
Cm_g10099	0	0	0	0	0	0	0	0	0	0
Cm_g10100	0	0	0	0	0	0	0	0	0	0
Cm_g10101	0	0	0	0	0	0	0	0	0	0
Cm_g1010	1	0	0	1	0	0	0	0	0	0
Cm_g10102	2	1	4	11	3	16	9	8	4	6
Cm_g10103	0	0	0	0	0	0	0	0	0	1
Cm_g10104	2	3	3	4	0	4	0	3	2	1
Cm_g10105	0	0	0	0	0	0	0	0	0	0
Cm_g10106	0	0	0	0	0	0	0	0	0	0
Cm_g10107	2	4	1	6	0	7	4	5	6	7
Cm_g10108	0	0	0	1	1	0	0	0	0	0
Cm_g10109	1	0	0	6	0	0	0	3	0	0
Cm_g1011	0	0	0	0	0	0	0	0	0	0
Cm_g10110	0	0	0	0	0	0	0	0	0	0
Cm_g10111	0	0	0	0	0	0	0	0	0	0
Cm_g10112	0	0	0	0	0	0	0	0	0	0
Cm_g10113	0	0	0	0	0	0	0	0	0	0
Cm_g10114	0	0	0	0	0	0	0	0	0	0
Cm_g101	1	4	2	7	0	3	2	5	2	10
Cm_g10115	0	0	0	0	0	0	0	0	0	0
Cm_g10116	0	0	0	0	0	0	0	0	0	0
Cm_g10117	0	0	0	0	0	0	0	0	0	0
Cm_g10118	0	0	0	0	0	0	0	0	0	0
Cm_g10119	0	0	0	0	0	0	0	0	0	0
Cm_g10120	0	0	0	0	0	0	0	0	0	0
Cm_g1012	0	1	0	0	0	0	0	0	0	0
Cm_g10121	0	0	0	0	0	0	0	0	0	0
Cm_g10122	0	0	4	0	0	0	0	2	0	0
Cm_g10123	0	6	6	4	3	23	7	5	16	17
Cm_g10124	0	0	0	0	0	0	0	0	1	1
Cm_g10125	0	1	0	0	0	0	0	1	0	4
Cm_g10126	4	3	1	6	0	4	9	5	4	5
Cm_g10127	2	0	0	1	1	3	0	1	0	0
Cm_g10128	0	0	0	0	0	0	0	0	0	0
Cm_g10129	0	0	0	0	0	0	0	0	0	0
Cm_g1013	0	0	0	0	0	0	0	0	0	0
Cm_g10130	0	0	0	0	0	0	0	0	0	0
Cm_g10131	0	0	0	0	0	0	0	0	0	0
Cm_g10132	0	0	0	0	0	0	0	0	0	0
Cm_g10133	0	0	1	2	3	2	2	1	0	0
Cm_g10134	0	0	0	0	0	0	0	0	0	0
Cm_g10135	1	0	0	0	0	0	0	0	0	0
Cm_g10136	0	0	0	0	0	0	0	0	0	0
Cm_g10137	0	0	0	0	0	0	0	0	0	0
Cm_g10138	0	0	0	0	0	0	0	0	0	0
Cm_g10139	0	0	0	0	0	0	0	0	0	0
Cm_g1014	0	0	0	4	0	0	0	0	0	3
Cm_g10140	7	9	8	67	9	37	20	51	11	16
Cm_g10141	6	6	10	12	10	25	4	10	11	17
Cm_g10142	0	0	0	0	0	0	0	2	0	0
Cm_g10143	0	0	1	0	1	0	0	0	0	0
Cm_g10144	0	0	0	0	0	0	0	0	0	0
Cm_g10145	0	0	0	0	0	0	0	0	0	0
Cm_g10146	0	0	0	0	0	0	0	1	0	0
Cm_g10147	0	0	0	0	0	0	0	0	0	0
Cm_g10148	0	0	0	0	0	0	0	0	0	0
Cm_g10149	8	1	0	1	0	1	1	1	1	3
Cm_g1015	0	0	0	0	0	0	0	0	0	0
Cm_g10150	1	1	0	5	0	4	0	4	2	3
Cm_g10151	1	0	0	1	0	0	0	0	1	3
Cm_g10152	0	0	0	2	0	0	0	0	0	2
Cm_g10153	6	3	4	9	1	7	5	5	6	6
Cm_g10154	4	0	0	5	2	0	1	2	1	0
Cm_g10155	1	4	0	4	1	2	5	2	3	4
Cm_g10156	0	0	0	0	0	0	0	0	0	0
Cm_g10157	0	0	0	0	0	0	0	0	0	0
Cm_g10158	1	0	1	0	0	1	1	0	1	1
Cm_g10159	0	0	0	0	0	0	0	0	0	0
Cm_g10160	1	1	2	1	0	0	1	0	0	0
Cm_g10161	0	0	0	0	1	0	0	0	0	0
Cm_g1016	1	0	0	5	1	4	3	8	4	1
Cm_g10162	0	5	1	3	4	12	0	2	8	12
Cm_g10163	0	0	0	1	1	2	2	0	2	8
Cm_g10164	0	0	2	0	0	0	0	0	0	0
Cm_g10165	11	0	0	2	0	2	0	0	0	0
Cm_g10166	0	0	0	0	0	0	0	0	0	0
Cm_g10167	0	0	0	0	0	0	0	0	0	0
Cm_g10168	0	0	0	0	0	0	0	0	0	0
Cm_g10169	0	0	0	1	0	2	0	0	0	0
Cm_g1017	0	0	0	1	0	0	0	0	0	0
Cm_g10170	4	0	0	0	1	0	0	0	1	4
Cm_g10171	0	0	0	4	1	8	1	4	2	0
Cm_g10172	6	5	8	20	2	9	10	18	9	7
Cm_g10173	0	0	0	0	0	1	0	1	1	0
