gene_callers_id	source	accession	function	e_value
g9463.t1	KeggGhostKoala	K00001	 E1.1.1.1, adh; alcohol dehydrogenase [EC:1.1.1.1]	0
g30661.t1	KeggGhostKoala	K00001	 E1.1.1.1, adh; alcohol dehydrogenase [EC:1.1.1.1]	0
g10063.t1	KeggGhostKoala	K00002	 AKR1A1, adh; alcohol dehydrogenase (NADP+) [EC:1.1.1.2]	0
g18720.t1	KeggGhostKoala	K00002	 AKR1A1, adh; alcohol dehydrogenase (NADP+) [EC:1.1.1.2]	0
g29821.t1	KeggGhostKoala	K00002	 AKR1A1, adh; alcohol dehydrogenase (NADP+) [EC:1.1.1.2]	0
g29821.t2	KeggGhostKoala	K00002	 AKR1A1, adh; alcohol dehydrogenase (NADP+) [EC:1.1.1.2]	0
g30551.t1	KeggGhostKoala	K00002	 AKR1A1, adh; alcohol dehydrogenase (NADP+) [EC:1.1.1.2]	0
g34420.t1	KeggGhostKoala	K00002	 AKR1A1, adh; alcohol dehydrogenase (NADP+) [EC:1.1.1.2]	0
g37654.t1	KeggGhostKoala	K00002	 AKR1A1, adh; alcohol dehydrogenase (NADP+) [EC:1.1.1.2]	0
g38962.t1	KeggGhostKoala	K00002	 AKR1A1, adh; alcohol dehydrogenase (NADP+) [EC:1.1.1.2]	0
g39407.t1	KeggGhostKoala	K00002	 AKR1A1, adh; alcohol dehydrogenase (NADP+) [EC:1.1.1.2]	0
g39409.t1	KeggGhostKoala	K00002	 AKR1A1, adh; alcohol dehydrogenase (NADP+) [EC:1.1.1.2]	0
g41399.t1	KeggGhostKoala	K00002	 AKR1A1, adh; alcohol dehydrogenase (NADP+) [EC:1.1.1.2]	0
g41400.t1	KeggGhostKoala	K00002	 AKR1A1, adh; alcohol dehydrogenase (NADP+) [EC:1.1.1.2]	0
g41401.t1	KeggGhostKoala	K00002	 AKR1A1, adh; alcohol dehydrogenase (NADP+) [EC:1.1.1.2]	0
g41921.t1	KeggGhostKoala	K00002	 AKR1A1, adh; alcohol dehydrogenase (NADP+) [EC:1.1.1.2]	0
g42453.t1	KeggGhostKoala	K00002	 AKR1A1, adh; alcohol dehydrogenase (NADP+) [EC:1.1.1.2]	0
g44053.t1	KeggGhostKoala	K00002	 AKR1A1, adh; alcohol dehydrogenase (NADP+) [EC:1.1.1.2]	0
g49105.t1	KeggGhostKoala	K00002	 AKR1A1, adh; alcohol dehydrogenase (NADP+) [EC:1.1.1.2]	0
g10906.t1	KeggGhostKoala	K00006	 GPD1; glycerol-3-phosphate dehydrogenase (NAD+) [EC:1.1.1.8]	0
g14092.t1	KeggGhostKoala	K00006	 GPD1; glycerol-3-phosphate dehydrogenase (NAD+) [EC:1.1.1.8]	0
g37142.t1	KeggGhostKoala	K00006	 GPD1; glycerol-3-phosphate dehydrogenase (NAD+) [EC:1.1.1.8]	0
g39388.t1	KeggGhostKoala	K00006	 GPD1; glycerol-3-phosphate dehydrogenase (NAD+) [EC:1.1.1.8]	0
g47976.t1	KeggGhostKoala	K00006	 GPD1; glycerol-3-phosphate dehydrogenase (NAD+) [EC:1.1.1.8]	0
g47976.t2	KeggGhostKoala	K00006	 GPD1; glycerol-3-phosphate dehydrogenase (NAD+) [EC:1.1.1.8]	0
g17050.t1	KeggGhostKoala	K00008	 SORD, gutB; L-iditol 2-dehydrogenase [EC:1.1.1.14]	0
g17051.t1	KeggGhostKoala	K00008	 SORD, gutB; L-iditol 2-dehydrogenase [EC:1.1.1.14]	0
g11260.t1	KeggGhostKoala	K00011	 AKR1B; aldehyde reductase [EC:1.1.1.21]	0
g22397.t1	KeggGhostKoala	K00011	 AKR1B; aldehyde reductase [EC:1.1.1.21]	0
