"","Row.names","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","pfam","GO","KEGG","KEGG.function","Ppe_ID","Evalue","Best.hit.arabi.name","arabi.symbol","arabi.defline"
"1","Cm_g10281",12.2612953930047,5.14011791757994,0.987447353056139,4.192748002986,2.75595530542833e-05,0.00259871821255612,"Thaumatin family","",NA,NA,"Prupe.5G093600",9.78e-97,"AT4G11650.1","ATOSM34,OSM34","osmotin 34"
"2","Cm_g10360",6.18799958483373,5.63733188747234,0.781854096743098,5.93119855327186,3.00731277856295e-09,1.09518035360011e-06,NA,NA,NA,NA,"Prupe.6G013200",3.27e-163,"AT5G06720.1","ATPA2,PA2","peroxidase 2"
"3","Cm_g10408",53.4751150537892,7.69693146932296,1.33199357918377,5.0277505642533,4.96266815341928e-07,8.31916482035889e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Cm_g1041",2.18232772413311,5.81573848819157,1.13047600242567,4.2599210225236,2.04499149895398e-05,0.00201842572153766,"WRKY domain","GO:0003700|GO:0006355|GO:0043565",NA,NA,"Prupe.3G308200",2.35e-70,"AT5G13080.1","ATWRKY75,WRKY75","WRKY DNA-binding protein 75"
"5","Cm_g10501",16.72039562429,2.5483595850769,0.452087872400421,3.42490847377895,0.000615006568641646,0.0352993715838284,NA,NA,NA,NA,"Prupe.2G303000",0,"AT3G16520.3","UGT88A1","UDP-glucosyl transferase 88A1"
"6","Cm_g10604",2.36285198655245,5.99677357364422,1.09263773656264,4.57312923253382,4.80493567986362e-06,0.000618840557500484,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Cm_g10607",1.83086089940446,5.58954406537287,1.24301060063031,3.69228071188257,0.000222251953781158,0.0152415771680702,NA,NA,NA,NA,"Prupe.1G552700",2.23e-06,"AT1G72060.1","","serine-type endopeptidase inhibitors"
"8","Cm_g10671",4.63046825172381,5.64190780699912,0.885879326589246,5.23988727095719,1.6067471825395e-07,3.14238092496291e-05,NA,NA,NA,NA,"Prupe.7G162300",0,"AT3G51000.1","","alpha/beta-Hydrolases superfamily protein"
"9","Cm_g11556",2.54738724034845,5.04483658487022,1.02250040618768,3.9558288293998,7.62697584716553e-05,0.00605627758811392,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Cm_g11701",2.29326105513421,5.53278462095222,1.09759717724371,4.12973421846342,3.63182843048597e-05,0.00327826838071473,NA,NA,NA,NA,"Prupe.I000300",8.94e-34,"AT2G38870.1","","Serine protease inhibitor, potato inhibitor I-type family protein"
"11","Cm_g11723",18.6051948959447,2.63714776591269,0.422964890841614,3.87064695288324,0.000108546899237236,0.00830698407858294,"Ribosomal protein L14P","GO:0003735|GO:0005840|GO:0006412",NA,NA,"Prupe.1G047000",3.07e-99,"AT2G33370.1","","Ribosomal protein L14p/L23e family protein"
"12","Cm_g11933",2.43128248971669,4.5967692509442,1.03161219113602,3.48655171182439,0.000489290777927991,0.0291943497497034,NA,NA,"K08237"," E2.4.1.218; hydroquinone glucosyltransferase [EC:2.4.1.218]","Prupe.2G184800",0,"AT4G01070.1","GT72B1,UGT72B1","UDP-Glycosyltransferase superfamily protein"
"13","Cm_g12086",4.67868808130522,6.10081454324642,0.897566156005562,5.68293992494834,1.32398786411435e-08,3.88406550914213e-06,NA,NA,NA,NA,"Prupe.2G056300",0,"AT5G13750.1","ZIFL1","zinc induced facilitator-like 1"
"14","Cm_g12124",1.84476132624006,5.2277531151718,1.19398550412338,3.54087474309481,0.000398802855375977,0.024630157635238,"HAT, C-terminal dimerisation domain","GO:0046983",NA,NA,"Prupe.1G105600",8.5e-34,"AT3G17450.1","","hAT dimerisation domain-containing protein"
"15","Cm_g12178",4.28987940521432,4.19606279942209,0.79170622691307,4.03693022838005,5.41551660912672e-05,0.0046498594234949,"NADP-dependent oxidoreductase domain","",NA,NA,"Prupe.1G175700",2.14e-68,"AT1G60710.1","ATB2","NAD(P)-linked oxidoreductase superfamily protein"
"16","Cm_g12181",6.97626272607176,4.73439771439652,0.694818117282923,5.37464067431032,7.67355542368166e-08,1.68834205894796e-05,"NADP-dependent oxidoreductase domain","",NA,NA,"Prupe.1G175800",0,"AT1G60710.1","ATB2","NAD(P)-linked oxidoreductase superfamily protein"
"17","Cm_g12836",6.22424715251775,3.26970589831366,0.653806039174519,3.47152788796405,0.000517505575730875,0.030363202140521,"Haem peroxidase","GO:0004601|GO:0006979|GO:0020037|GO:0055114",NA,NA,"Prupe.6G044000",1.71e-171,"AT5G05340.1","","Peroxidase superfamily protein"
"18","Cm_g12937",2.29603217506502,5.18893577977184,1.08958666486667,3.84451821488146,0.000120789513382678,0.00899032579727205,NA,NA,NA,NA,"Prupe.4G155000",7.3e-158,"AT1G17020.1","ATSRG1,SRG1","senescence-related gene 1"
"19","Cm_g13115",3.66733454094439,5.10100737189048,0.907216741282428,4.52042735244651,6.1714921209474e-06,0.000766789744580299,"SANT/Myb domain","",NA,NA,"Prupe.5G222400",2.88e-119,"AT1G25340.1","AtMYB116,MYB116","myb domain protein 116"
"20","Cm_g13371",11.4797285271409,3.05042082938951,0.480209826810884,4.26984354528214,1.95610134530839e-05,0.00194890436866055,"Survival protein SurE-like phosphatase/nucleotidase","GO:0016787","K03787"," surE; 5-nucleotidase [EC:3.1.3.5]	0
g20875.t1	KeggGhostKoala	K03787	 surE; 5-nucleotidase [EC:3.1.3.5]","Prupe.1G013000",4.75e-152,"AT4G14930.1","","Survival protein SurE-like phosphatase/nucleotidase"
"21","Cm_g13726",3.10770819581322,3.81531906242429,0.844166861394664,3.33502674787903,0.000852911948210553,0.045970449158643,NA,NA,NA,NA,"Prupe.1G544400",3.57e-64,"AT4G10040.1","CYTC-2","cytochrome c-2"
"22","Cm_g14792",18.9497823127722,3.01323780684753,0.401622903163584,5.01275647128005,5.36557872871974e-07,8.85404327406393e-05,"Peptidase S10, serine carboxypeptidase","GO:0004185|GO:0006508",NA,NA,"Prupe.8G147500",1.65e-179,"AT1G73280.1","scpl3","serine carboxypeptidase-like 3"
